Asset Type,Name,Symbol,Current Price,Market Cap,Turnover,Volume 24h,P/E Ratio,Timestamp,Recommendation
Crypto,Binance Coin,BINANCECOIN,653.64,95331937619.0681,,3055078682.616267,,2024-11-24T19:10:39.701281,Sell
Crypto,Bitcoin,BITCOIN,96377.0,1905812300092.6616,,51794601776.406364,,2024-11-24T19:10:39.701299,Sell
Crypto,Cardano,CARDANO,0.993289,35544144682.35457,,4045756053.0682487,,2024-11-24T19:10:39.701306,Sell
Crypto,Chainlink,CHAINLINK,17.11,10710597251.311401,,1686260445.4449308,,2024-11-24T19:10:39.701311,Sell
Crypto,Dogecoin,DOGECOIN,0.418469,61481213416.8366,,14817521053.600796,,2024-11-24T19:10:39.701315,Sell
Crypto,Ethereum,ETHEREUM,3326.08,400430191978.8484,,30807682503.26722,,2024-11-24T19:10:39.701320,Sell
Crypto,Litecoin,LITECOIN,96.01,7234824451.7221155,,1429244075.7407715,,2024-11-24T19:10:39.701324,Sell
Crypto,Polkadot,POLKADOT,8.48,12245731396.03394,,3636937426.302017,,2024-11-24T19:10:39.701328,Sell
Crypto,Ripple,RIPPLE,1.4,79546302811.93663,,10597257813.719286,,2024-11-24T19:10:39.701331,Sell
Crypto,Solana,SOLANA,249.48,118505049876.84138,,7277511014.127376,,2024-11-24T19:10:39.701335,Sell
